date_id,currency_code,rate_to_usd
20220101,CAD,1.2708
20220101,EUR,0.88292
20220101,GBP,0.7419
20220101,JPY,115.12
20220101,USD,1
20220102,CAD,1.2708
20220102,EUR,0.88292
20220102,GBP,0.7419
20220102,JPY,115.12
20220102,USD,1
20220103,CAD,1.2699
20220103,EUR,0.88067
20220103,GBP,0.74095
20220103,JPY,114.98
20220103,USD,1
20220104,CAD,1.2751
20220104,EUR,0.8866
20220104,GBP,0.74136
20220104,JPY,116.3
20220104,USD,1
20220105,CAD,1.2721
20220105,EUR,0.88347
20220105,GBP,0.7381
20220105,JPY,115.76
20220105,USD,1
20220106,CAD,1.2772
20220106,EUR,0.88378
20220106,GBP,0.73878
20220106,JPY,115.82
20220106,USD,1
20220107,CAD,1.2723
20220107,EUR,0.88511
20220107,GBP,0.73845
20220107,JPY,115.86
20220107,USD,1
20220108,CAD,1.2723
20220108,EUR,0.88511
20220108,GBP,0.73845
20220108,JPY,115.86
20220108,USD,1
20220109,CAD,1.2723
20220109,EUR,0.88511
20220109,GBP,0.73845
20220109,JPY,115.86
20220109,USD,1
20220110,CAD,1.2659
20220110,EUR,0.88355
20220110,GBP,0.73686
20220110,JPY,115.26
20220110,USD,1
20220111,CAD,1.264
20220111,EUR,0.88215
20220111,GBP,0.73637
20220111,JPY,115.52
20220111,USD,1
20220112,CAD,1.2543
20220112,EUR,0.87951
20220112,GBP,0.73296
20220112,JPY,115.38
20220112,USD,1
20220113,CAD,1.2478
20220113,EUR,0.87237
20220113,GBP,0.72882
20220113,JPY,114.26
20220113,USD,1
20220114,CAD,1.2519
20220114,EUR,0.87359
20220114,GBP,0.72952
20220114,JPY,113.72
20220114,USD,1
20220115,CAD,1.2519
20220115,EUR,0.87359
20220115,GBP,0.72952
20220115,JPY,113.72
20220115,USD,1
20220116,CAD,1.2519
20220116,EUR,0.87359
20220116,GBP,0.72952
20220116,JPY,113.72
20220116,USD,1
20220117,CAD,1.2529
20220117,EUR,0.87696
20220117,GBP,0.7329
20220117,JPY,114.57
20220117,USD,1
20220118,CAD,1.2517
20220118,EUR,0.87974
20220118,GBP,0.7361
20220118,JPY,114.71
20220118,USD,1
20220119,CAD,1.2467
20220119,EUR,0.88145
20220119,GBP,0.73308
20220119,JPY,114.46
20220119,USD,1
20220120,CAD,1.2487
20220120,EUR,0.88199
20220120,GBP,0.73439
20220120,JPY,114.24
20220120,USD,1
20220121,CAD,1.2523
20220121,EUR,0.88121
20220121,GBP,0.73698
20220121,JPY,113.8
20220121,USD,1
20220122,CAD,1.2523
20220122,EUR,0.88121
20220122,GBP,0.73698
20220122,JPY,113.8
20220122,USD,1
20220123,CAD,1.2523
20220123,EUR,0.88121
20220123,GBP,0.73698
20220123,JPY,113.8
20220123,USD,1
20220124,CAD,1.2623
20220124,EUR,0.88464
20220124,GBP,0.74136
20220124,JPY,113.78
20220124,USD,1
20220125,CAD,1.2644
20220125,EUR,0.88747
20220125,GBP,0.74293
20220125,JPY,114.03
20220125,USD,1
20220126,CAD,1.2568
20220126,EUR,0.88676
20220126,GBP,0.74007
20220126,JPY,114.27
20220126,USD,1
20220127,CAD,1.2689
20220127,EUR,0.89606
20220127,GBP,0.74703
20220127,JPY,115.36
20220127,USD,1
20220128,CAD,1.2784
20220128,EUR,0.89783
20220128,GBP,0.74679
20220128,JPY,115.53
20220128,USD,1
20220129,CAD,1.2784
20220129,EUR,0.89783
20220129,GBP,0.74679
20220129,JPY,115.53
20220129,USD,1
20220130,CAD,1.2784
20220130,EUR,0.89783
20220130,GBP,0.74679
20220130,JPY,115.53
20220130,USD,1
20220131,CAD,1.2758
20220131,EUR,0.89638
20220131,GBP,0.74537
20220131,JPY,115.44
20220131,USD,1
20220201,CAD,1.2699
20220201,EUR,0.8881
20220201,GBP,0.74155
20220201,JPY,114.67
20220201,USD,1
20220202,CAD,1.2656
20220202,EUR,0.88316
20220202,GBP,0.73651
20220202,JPY,114.25
20220202,USD,1
20220203,CAD,1.2701
20220203,EUR,0.88605
20220203,GBP,0.73727
20220203,JPY,114.86
20220203,USD,1
20220204,CAD,1.2721
20220204,EUR,0.8723
20220204,GBP,0.7379
20220204,JPY,114.9
20220204,USD,1
20220205,CAD,1.2721
20220205,EUR,0.8723
20220205,GBP,0.7379
20220205,JPY,114.9
20220205,USD,1
20220206,CAD,1.2721
20220206,EUR,0.8723
20220206,GBP,0.7379
20220206,JPY,114.9
20220206,USD,1
20220207,CAD,1.2707
20220207,EUR,0.87359
20220207,GBP,0.7398
20220207,JPY,114.96
20220207,USD,1
20220208,CAD,1.2715
20220208,EUR,0.87658
20220208,GBP,0.73951
20220208,JPY,115.43
20220208,USD,1
20220209,CAD,1.2693
20220209,EUR,0.87451
20220209,GBP,0.73682
20220209,JPY,115.47
20220209,USD,1
20220210,CAD,1.2674
20220210,EUR,0.8742
20220210,GBP,0.7365
20220210,JPY,115.76
20220210,USD,1
20220211,CAD,1.2699
20220211,EUR,0.87589
20220211,GBP,0.73538
20220211,JPY,115.83
20220211,USD,1
20220212,CAD,1.2699
20220212,EUR,0.87589
20220212,GBP,0.73538
20220212,JPY,115.83
20220212,USD,1
20220213,CAD,1.2699
20220213,EUR,0.87589
20220213,GBP,0.73538
20220213,JPY,115.83
20220213,USD,1
20220214,CAD,1.2753
20220214,EUR,0.8837
20220214,GBP,0.73984
20220214,JPY,115.41
20220214,USD,1
20220215,CAD,1.2722
20220215,EUR,0.88145
20220215,GBP,0.73834
20220215,JPY,115.63
20220215,USD,1
20220216,CAD,1.2677
20220216,EUR,0.87935
20220216,GBP,0.73813
20220216,JPY,115.69
20220216,USD,1
20220217,CAD,1.2699
20220217,EUR,0.87951
20220217,GBP,0.73433
20220217,JPY,115.07
20220217,USD,1
20220218,CAD,1.2704
20220218,EUR,0.88075
20220218,GBP,0.73476
20220218,JPY,115.02
20220218,USD,1
20220219,CAD,1.2704
20220219,EUR,0.88075
20220219,GBP,0.73476
20220219,JPY,115.02
20220219,USD,1
20220220,CAD,1.2704
20220220,EUR,0.88075
20220220,GBP,0.73476
20220220,JPY,115.02
20220220,USD,1
20220221,CAD,1.2748
20220221,EUR,0.88199
20220221,GBP,0.73468
20220221,JPY,114.84
20220221,USD,1
20220222,CAD,1.2732
20220222,EUR,0.88168
20220222,GBP,0.73783
20220222,JPY,115.09
20220222,USD,1
20220223,CAD,1.2689
20220223,EUR,0.88152
20220223,GBP,0.73575
20220223,JPY,115.11
20220223,USD,1
20220224,CAD,1.2825
20220224,EUR,0.89582
20220224,GBP,0.74768
20220224,JPY,114.92
20220224,USD,1
20220225,CAD,1.2772
20220225,EUR,0.89158
20220225,GBP,0.74661
20220225,JPY,115.58
20220225,USD,1
20220226,CAD,1.2772
20220226,EUR,0.89158
20220226,GBP,0.74661
20220226,JPY,115.58
20220226,USD,1
20220227,CAD,1.2772
20220227,EUR,0.89158
20220227,GBP,0.74661
20220227,JPY,115.58
20220227,USD,1
20220228,CAD,1.2737
20220228,EUR,0.89294
20220228,GBP,0.74605
20220228,JPY,115.47
20220228,USD,1
20220301,CAD,1.2684
20220301,EUR,0.8959
20220301,GBP,0.74619
20220301,JPY,114.81
20220301,USD,1
