source_system,source_record_id,date_id,customer_id,product_id,billing_cycle,amount_lcy,currency_code,country,ingest_batch_id
csv,fact_subscription_revenue.csv:1,20230115,CUST-0001,PROD-002,monthly,29.99,USD,USA,batch-001
csv,fact_subscription_revenue.csv:2,20230115,CUST-0001,PROD-004,monthly,49.99,USD,USA,batch-001
csv,fact_subscription_revenue.csv:3,20230215,CUST-0001,PROD-002,monthly,29.99,USD,USA,batch-001
csv,fact_subscription_revenue.csv:4,20230215,CUST-0001,PROD-004,monthly,49.99,USD,USA,batch-001
csv,fact_subscription_revenue.csv:5,20230315,CUST-0001,PROD-002,monthly,29.99,USD,USA,batch-001
csv,fact_subscription_revenue.csv:6,20230315,CUST-0001,PROD-004,monthly,49.99,USD,USA,batch-001
csv,fact_subscription_revenue.csv:7,20230415,CUST-0001,PROD-002,monthly,29.99,USD,USA,batch-001
csv,fact_subscription_revenue.csv:8,20230415,CUST-0001,PROD-004,monthly,49.99,USD,USA,batch-001
csv,fact_subscription_revenue.csv:9,20230515,CUST-0001,PROD-002,monthly,29.99,USD,USA,batch-001
csv,fact_subscription_revenue.csv:10,20230515,CUST-0001,PROD-004,monthly,49.99,USD,USA,batch-001
csv,fact_subscription_revenue.csv:11,20230615,CUST-0001,PROD-002,monthly,29.99,USD,USA,batch-001
csv,fact_subscription_revenue.csv:12,20230615,CUST-0001,PROD-004,monthly,49.99,USD,USA,batch-001
csv,fact_subscription_revenue.csv:13,20230922,CUST-0002,PROD-001,annual,185.99,EUR,Ireland,batch-001
csv,fact_subscription_revenue.csv:14,20230922,CUST-0002,PROD-005,monthly,55.79,EUR,Ireland,batch-001
csv,fact_subscription_revenue.csv:15,20231022,CUST-0002,PROD-005,monthly,55.79,EUR,Ireland,batch-001
csv,fact_subscription_revenue.csv:16,20231122,CUST-0002,PROD-005,monthly,55.79,EUR,Ireland,batch-001
csv,fact_subscription_revenue.csv:17,20231222,CUST-0002,PROD-005,monthly,55.79,EUR,Ireland,batch-001
csv,fact_subscription_revenue.csv:18,20230518,CUST-0003,PROD-003,monthly,54.79,CAD,Canada,batch-001
csv,fact_subscription_revenue.csv:19,20230618,CUST-0003,PROD-003,monthly,54.79,CAD,Canada,batch-001
csv,fact_subscription_revenue.csv:20,20230718,CUST-0003,PROD-003,monthly,54.79,CAD,Canada,batch-001
csv,fact_subscription_revenue.csv:21,20230818,CUST-0003,PROD-003,monthly,54.79,CAD,Canada,batch-001
csv,fact_subscription_revenue.csv:22,20230918,CUST-0003,PROD-003,monthly,54.79,CAD,Canada,batch-001
csv,fact_subscription_revenue.csv:23,20231018,CUST-0003,PROD-003,monthly,54.79,CAD,Canada,batch-001
csv,fact_subscription_revenue.csv:24,20230201,CUST-0004,PROD-001,monthly,19.99,USD,USA,batch-001
csv,fact_subscription_revenue.csv:25,20230201,CUST-0004,PROD-002,annual,299.99,USD,USA,batch-001
csv,fact_subscription_revenue.csv:26,20230301,CUST-0004,PROD-001,monthly,19.99,USD,USA,batch-001
csv,fact_subscription_revenue.csv:27,20230401,CUST-0004,PROD-001,monthly,19.99,USD,USA,batch-001
csv,fact_subscription_revenue.csv:28,20230501,CUST-0004,PROD-001,monthly,19.99,USD,USA,batch-001
csv,fact_subscription_revenue.csv:29,20230601,CUST-0004,PROD-001,monthly,19.99,USD,USA,batch-001
csv,fact_subscription_revenue.csv:30,20231107,CUST-0005,PROD-004,annual,464.99,EUR,France,batch-001
csv,fact_subscription_revenue.csv:31,20231107,CUST-0005,PROD-005,annual,557.99,EUR,France,batch-001
csv,fact_subscription_revenue.csv:32,20240312,CUST-0006,PROD-001,monthly,18.59,EUR,Germany,batch-001
csv,fact_subscription_revenue.csv:33,20240312,CUST-0006,PROD-002,monthly,27.89,EUR,Germany,batch-001
csv,fact_subscription_revenue.csv:34,20240412,CUST-0006,PROD-001,monthly,18.59,EUR,Germany,batch-001
csv,fact_subscription_revenue.csv:35,20240412,CUST-0006,PROD-002,monthly,27.89,EUR,Germany,batch-001
csv,fact_subscription_revenue.csv:36,20230728,CUST-0007,PROD-003,annual,399.99,USD,USA,batch-001
csv,fact_subscription_revenue.csv:37,20240728,CUST-0007,PROD-003,annual,399.99,USD,USA,batch-001
csv,fact_subscription_revenue.csv:38,20230416,CUST-0008,PROD-001,monthly,27.39,CAD,Canada,batch-001
csv,fact_subscription_revenue.csv:39,20230516,CUST-0008,PROD-001,monthly,27.39,CAD,Canada,batch-001
csv,fact_subscription_revenue.csv:40,20230616,CUST-0008,PROD-001,monthly,27.39,CAD,Canada,batch-001
csv,fact_subscription_revenue.csv:41,20230120,CUST-0001,PROD-002,monthly,41.09,CAD,Canada,batch-001
csv,fact_subscription_revenue.csv:42,20230120,CUST-0001,PROD-005,monthly,82.19,CAD,Canada,batch-001
csv,fact_subscription_revenue.csv:43,20230220,CUST-0001,PROD-002,monthly,41.09,CAD,Canada,batch-001
csv,fact_subscription_revenue.csv:44,20230220,CUST-0001,PROD-005,monthly,82.19,CAD,Canada,batch-001
csv,fact_subscription_revenue.csv:45,20230320,CUST-0001,PROD-002,monthly,41.09,CAD,Canada,batch-001
